sample	site_type	material	material2	collection	lat	lon	alt	age	endog	Rx	sex	Nx	Na	Lx	La	GC	readlen	C2T	G2A	alpine
A100	Cave	Podial	Postcrania	Museum	54.899167	57.780556	295.2	NA	0.033676876	0.482516212738	M	445	19097	102269301	2115901698	0.429509	54.1375	0.0588776	0.0603404	nonAlps
A101	Cave	Tooth	Crania	Museum	60.716667	60.283333	189.3	NA	0.13768949	0.520955456557	M	479	19004	102269301	2115901698	0.381151	53.2371	0.0324791	0.0221192	nonAlps
A102	Cave	Tooth	Crania	Museum	60.42	60.22	167.1	NA	0.016066624	0.516440503754	M	468	18734	102269301	2115901698	0.430077	59.2015	0.0427056	0.0359692	nonAlps
A104	Cave	LongBone	Postcrania	Museum	47.758637	15.868071	1415	NA	0.58894597	0.527743680659	M	483	18910	102269301	2115901698	0.409994	64.1306	0.0432856	0.0326143	Alps
A105	Cave	LongBone	Postcrania	Museum	47.65	13.816667	1660.5	NA	0.015574272	0.991552528633	F	883	18432	102269301	2115901698	0.401228	62.8273	0.120976	0.127122	Alps
A107	Cave	LongBone	Postcrania	Museum	47.289104	13.757605	2007.6	1273	0.122076358	0.981935152677	F	881	18579	102269301	2115901698	0.418809	71.8313	0.0737327	0.0635618	Alps
A109	Cave	LongBone	Postcrania	Museum	47.807561	15.117937	989.2	5325	0.027702584	0.484930793237	M	444	18957	102269301	2115901698	0.41389	54.4042	0.0756702	0.0941658	Alps
A112	Cave	LongBone	Postcrania	Museum	47.895208	15.150057	1191.5	4744	0.26873593	0.954536773372	F	847	18399	102269301	2115901698	0.413755	70.0589	0.0376131	0.0431458	Alps
A113	Cave	Tooth	Crania	Museum	47.860444	15.024861	600	1466	0.128329372	0.584185579853	M	537	18941	102269301	2115901698	0.40387	72.7955	0.0255447	0.0551278	Alps
A114	Cave	LongBone	Postcrania	Museum	47.555023	13.203673	1460.8	1805	0.377020593	0.993188147591	F	878	18296	102269301	2115901698	0.424169	64.5025	0.0249861	0.0242915	Alps
A115	Cave	LongBone	Postcrania	Museum	47.814673	14.582453	974.9	2264	0.49235763	1.01542648543	F	900	18324	102269301	2115901698	0.416833	62.709	0.0598839	0.0524246	Alps
A116	Cave	LongBone	Postcrania	Museum	47.998266	15.283335	951.7	3643	0.191658215	0.909531107908	F	810	18506	102269301	2115901698	0.425348	64.4707	0.0470297	0.0853099	Alps
A117	Cave	Tooth	Crania	Museum	47.502032	13.300292	1964.6	9985	0.042310717	0.930390206756	F	823	18363	102269301	2115901698	0.425876	69.9542	0.0571515	0.0636984	Alps
A11725	Cave	LongBone	Postcrania	Museum	58.10367	-4.935338	344.8	NA	0.006815287	0.509009408281	M	415	16861	102269301	2115901698	0.445139	59.6553	0.0741301	0.101449	nonAlps
A119	Cave	Tooth	Crania	Museum	47.684276	15.576666	1119.2	1985	0.278483949	0.949300864519	F	848	18527	102269301	2115901698	0.423081	71.2791	0.0316574	0.0412655	Alps
A120	Cave	Tooth	Crania	Museum	47.701354	15.581317	1766.5	3321	0.106014916	0.913008109735	F	820	18660	102269301	2115901698	0.407829	61.3857	0.117182	0.0673966	Alps
A123	Cave	LongBone	Postcrania	Museum	47.684276	15.576666	1119.2	2530	0.394912507	1.00213712922	F	897	18517	102269301	2115901698	0.408035	67.4643	0.0333664	0.0210286	Alps
A127	Cave	LongBone	Postcrania	Museum	47.804628	15.044888	1485	3130	0.443968423	0.975773830029	F	864	18341	102269301	2115901698	0.407441	64.5979	0.0806068	0.0137615	Alps
A130	Cave	Tooth	Crania	Museum	47.678945	13.566554	1058.7	9810	0.061303205	0.527739559205	M	482	18871	102269301	2115901698	0.419237	65.405	0.0875969	0.10355	Alps
A16510	Cave	NA	NA	Field	42.351844	-3.519313	1015.5	17440	0.13526652	0.519259051555	M	472	18789	102269301	2115901698	0.444803	74.402	0.0564379	0.0439883	nonAlps
A1673	Cave	Vertebrae	Postcrania	Museum	52.438218	228.626	211.4	NA	0.009359868	0.929270516192	F	332	7417	102269301	2115901698	0.401481	67.0711	0.047956	0.112631	nonAlps
A1674	Cave	Crania	Crania	Museum	52.438218	228.626	211.4	NA	0.019720658	0.461141506635	M	401	18025	102269301	2115901698	0.39891	62.7237	0.153941	0.069404	nonAlps
A1675	Cave	Podial	Postcrania	Museum	53.035155	227.523	94.8	NA	0.0229894	0.546917982449	M	499	18834	102269301	2115901698	0.407327	66.3014	0.125118	0.140307	nonAlps
A1676	Cave	NA	NA	Museum	52.438218	228.626	211.4	NA	0.053421601	0.50427722465	M	460	18869	102269301	2115901698	0.411097	67.2198	0.0974832	0.122942	nonAlps
A1678	Cave	Tooth	Crania	Museum	52.438218	228.626	211.4	NA	0.013901654	0.515388849126	M	264	10590	102269301	2115901698	0.417377	70.2428	0.0855615	0.0700152	nonAlps
A1681	Cave	Tooth	Crania	Museum	52.438218	228.626	211.4	NA	0.072602152	0.510379466255	M	466	18881	102269301	2115901698	0.417782	66.4892	0.0962723	0.115753	nonAlps
A1682	Cave	NA	NA	Museum	53.035155	227.523	94.8	NA	0.021393625	0.548361335756	M	424	15960	102269301	2115901698	0.387573	63.3296	0.0948718	0.126206	nonAlps
A1683	Cave	Podial	Postcrania	Museum	53.035155	227.523	94.8	NA	0.049221237	0.505692557871	M	459	18774	102269301	2115901698	0.395711	65.4164	0.12606	0.0539912	nonAlps
A169	Cave	LongBone	Postcrania	Museum	55.631944	227.093	342.1	9995	0.016263917	0.46316543182	M	375	16781	102269301	2115901698	0.3976	63.268	0.050567	0.0818414	nonAlps
A171	Sediment	LongBone	Postcrania	Museum	63.7333333	221.167	637.9	NA	0.004035104	0.838345767517	F	468	11640	102269301	2115901698	0.47256	54.8973	0.08	0.0403882	nonAlps
A173	Sediment	LongBone	Postcrania	Museum	64	219.267	695	36500	0.012915164	0.503506669932	M	310	12736	102269301	2115901698	0.45325	57.6049	0.0947712	0.0397836	nonAlps
A1731	Cave	Podial	Postcrania	Field	40.08	243.95	2160.8	9960	0.219684856	0.496834777803	M	453	18867	102269301	2115901698	0.430483	64.613	0.0879299	0.0519795	nonAlps
A1745	Cave	LongBone	Postcrania	Museum	66.537233	14.542066	1116.4	3600	0.069861773	0.579891236716	M	531	18872	102269301	2115901698	0.415658	66.0426	0.0887676	0.0987234	nonAlps
A1746	Cave	LongBone	Postcrania	Museum	66.537233	14.542066	1116.4	420	0.16902867	0.474302296267	M	434	18955	102269301	2115901698	0.430576	61.9215	0.0323374	0.0270768	nonAlps
A1748	Cave	Crania	Crania	Museum	66.537233	14.542066	1116.4	1830	0.043628831	0.947090927495	F	840	18397	102269301	2115901698	0.393944	63.6207	0.029971	0.0385864	nonAlps
A1750	Cave	Crania	Crania	Museum	66.537233	14.542066	1116.4	2440	0.136780577	0.506451962759	M	460	18786	102269301	2115901698	0.429286	61.9373	0.0627416	0.0694538	nonAlps
A1752	Cave	Vertebrae	Postcrania	Museum	66.537233	14.542066	1116.4	1310	0.014869304	0.9835798005	F	562	11831	102269301	2115901698	0.401781	73.1019	0.0201681	0.0169014	nonAlps
A1753	Cave	LongBone	Postcrania	Museum	66.537233	14.542066	1116.4	1660	0.085532516	0.873011463036	F	778	18551	102269301	2115901698	0.419727	69.413	0.0249095	0.0676341	nonAlps
A1754	Cave	LongBone	Postcrania	Museum	66.537233	14.542066	1116.4	6210	0.212099225	0.942536618841	F	844	18578	102269301	2115901698	0.406828	62.0273	0.136132	0.107433	nonAlps
A1755	Cave	FlatBone	Postcrania	Museum	66.537233	14.542066	1116.4	2870	0.062814708	0.537654122945	M	489	18783	102269301	2115901698	0.407591	66.5061	0.0759413	0.0268388	nonAlps
A1756	Cave	LongBone	Postcrania	Museum	66.537233	14.542066	1116.4	4420	0.096564267	0.48652978104	M	449	19106	102269301	2115901698	0.425408	65.238	0.0523293	0.0714791	nonAlps
A1757	Cave	Crania	Crania	Museum	66.537233	14.542066	1116.4	4370	0.109404973	0.513671948625	M	474	19079	102269301	2115901698	0.400568	71.2644	0.0934524	0.0603063	nonAlps
A176	Sediment	LongBone	Postcrania	Museum	64.8333333	212	153	41787	0.020185788	0.510006069868	M	431	17476	102269301	2115901698	0.472203	63.5414	0.0616481	0.0434435	nonAlps
A1760	Cave	Crania	Crania	Museum	66.537233	14.542066	1116.4	2340	0.018138946	0.920358046691	F	821	18527	102269301	2115901698	0.423627	68.3236	0.0489098	0.0495078	nonAlps
A1761	Cave	LongBone	Postcrania	Museum	66.537233	14.542066	1116.4	3980	0.077172551	0.50430376794	M	461	18909	102269301	2115901698	0.41313	69.8059	0.0422269	0.068305	nonAlps
A1769	Cave	FlatBone	Postcrania	Museum	66.537233	14.542066	1116.4	820	0.013206659	0.519060858474	M	474	18876	102269301	2115901698	0.411921	56.0381	0.0785809	0.0415544	nonAlps
A1770	Cave	LongBone	Postcrania	Museum	66.537233	14.542066	1116.4	3970	0.082200269	0.489842770881	M	450	19016	102269301	2115901698	0.416753	68.8251	0.0756757	0.0328159	nonAlps
A1771	Cave	Crania	Crania	Museum	66.537233	14.542066	1116.4	4340	0.106723723	0.981834302725	F	870	18349	102269301	2115901698	0.394006	60.61	0.0455992	0.0641427	nonAlps
A1772	Cave	LongBone	Postcrania	Museum	66.537233	14.542066	1116.4	2800	0.028519276	0.560079937916	M	515	18969	102269301	2115901698	0.409105	66.7387	0.0951932	0.0340211	nonAlps
A1773	Cave	NA	NA	Museum	66.537233	14.542066	1116.4	3150	0.202373138	0.507821523381	M	464	18897	102269301	2115901698	0.394257	67.4657	0.087482	0.0314583	nonAlps
A182	Sediment	LongBone	Postcrania	Museum	64	219.267	695	NA	0.06041322	0.814556132423	F	730	18708	102269301	2115901698	0.475287	52.8121	0.109423	0.0761729	nonAlps
A186	Sediment	LongBone	Postcrania	Museum	64.848406	212.047	220.9	13760	0.398800785	0.870268477113	F	777	18588	102269301	2115901698	0.47304	66.5445	0.0372027	0.0592089	nonAlps
A1917	Cave	Crania	Crania	Museum	64	68.85	76.3	NA	0.009040291	0.464075283988	M	332	14827	102269301	2115901698	0.417423	49.2401	0.0958479	0.126008	nonAlps
A192	Cave	Tooth	Crania	Museum	55.631944	227.093	342.1	NA	0.297789488	0.497699061993	M	447	18584	102269301	2115901698	0.41444	63.9515	0.146238	0.0786067	nonAlps
A1920	Sediment	LongBone	Postcrania	Museum	58.033333	68.85	45	NA	0.021775468	0.510590595875	M	466	18873	102269301	2115901698	0.417052	52.8571	0.0641067	0.061817	nonAlps
A1921	Sediment	LongBone	Postcrania	Museum	58.033333	68.85	45	NA	0.008615222	0.832260824999	F	525	13157	102269301	2115901698	0.50578	51.9752	0.0755045	0.0423947	nonAlps
A1925	Cave	LongBone	Postcrania	Museum	59.383333	62	70.5	50000	0.215650471	0.490851404199	M	450	18976	102269301	2115901698	0.398609	49.3955	0.0976645	0.119013	nonAlps
A1927	Cave	LongBone	Postcrania	Museum	58.033333	68.85	45	43600	0.048633706	0.477011167169	M	439	19062	102269301	2115901698	0.427494	63.421	0.0649954	0.0572233	nonAlps
A1933	Cave	Podial	Postcrania	Museum	59.416667	57.633333	198	46700	0.018286378	0.506694282319	M	387	15797	102269301	2115901698	0.402385	60.3722	0.129073	0.07061	nonAlps
A1941	Cave	Tooth	Crania	Field	51	85	1348.5	16450	0.513174897	0.490543432237	M	449	18946	102269301	2115901698	0.411328	68.3401	0.0520863	0.0578818	nonAlps
A1942	Cave	LongBone	Postcrania	Field	51	85	1348.5	16440	0.608616051	0.500999112794	M	455	18789	102269301	2115901698	0.399616	69.1945	0.0236267	0.0222486	nonAlps
A1943	Cave	LongBone	Postcrania	Field	51	85	1348.5	16380	0.417477833	0.53264206725	M	486	18848	102269301	2115901698	0.405187	69.9573	0.0253234	0.0345073	nonAlps
A1944	Cave	LongBone	Postcrania	Field	51	85	1348.5	13925	0.230589314	0.532049820662	M	489	18986	102269301	2115901698	0.412439	63.7311	0.02432	0.00963149	nonAlps
A1945	Cave	LongBone	Postcrania	Field	51	85	1348.5	15370	0.608044641	0.97088226181	F	850	18139	102269301	2115901698	0.424226	69.9017	0.0638889	0.0260712	nonAlps
A1946	Cave	LongBone	Postcrania	Field	51	85	1348.5	13830	0.203255551	0.46683260774	M	418	18555	102269301	2115901698	0.422344	66.0067	0.0455998	0.0782731	nonAlps
A195	Cave	Podial	Postcrania	Museum	44.9733333	251.807	1511.1	NA	0.01358954	0.508159212086	M	418	17012	102269301	2115901698	0.40005	58.5831	0.078681	0.0857354	nonAlps
A293	Sediment	LongBone	Postcrania	Museum	64.837172	212.021	153.3	53900	0.57224901	0.882987622152	F	784	18474	102269301	2115901698	0.448007	66.2582	0.0497977	0.0258522	nonAlps
A306	Sediment	Ulna	Postcrania	Museum	64.8333333	212	153	20820	0.408762489	0.459041983242	M	418	18877	102269301	2115901698	0.455177	64.4793	0.0469048	0.0572735	nonAlps
A312	Sediment	Tooth	Crania	Museum	64.8333333	212	153	10015	0.102789096	0.499536978199	M	459	19011	102269301	2115901698	0.458238	66.5166	0.136049	0.0779874	nonAlps
A323	Sediment	LongBone	Postcrania	Museum	64.8333333	212	153	14150	0.024220476	0.933464008289	F	828	18411	102269301	2115901698	0.452655	70.1506	0.0996299	0.0868407	nonAlps
A331	Sediment	Crania	Crania	Museum	65	213	203.6	19027	0.014554814	0.470498777918	M	386	16998	102269301	2115901698	0.471011	64.1536	0.0582701	0.0652706	nonAlps
A338	Cave	NA	NA	Museum	58.135206	-4.933057	267.2	2673	0.012263297	0.900243053797	F	312	7205	102269301	2115901698	0.414438	65.422	0.0629139	0.0246711	nonAlps
A339	Cave	NA	NA	Museum	58.135206	-4.933057	267.2	2673	0.262604094	0.941899516692	F	839	18481	102269301	2115901698	0.426645	70.233	0.0643489	0.0527859	nonAlps
A341	Cave	LongBone	Postcrania	Museum	40.58843	276.733	281.3	NA	0.008453727	0.525165184289	M	290	11411	102269301	2115901698	0.445728	43.8409	0.168792	0.156973	nonAlps
A3643	Cave	Podial	Postcrania	Museum	48.053486	16.075301	370.9	10870	0.031665887	0.945123195956	F	841	18459	102269301	2115901698	0.406146	61.0605	0.0848647	0.0901344	Alps
A3644	Cave	Podial	Postcrania	Museum	47.666667	13.816667	1379.6	6615	0.063682419	0.518239644941	M	471	18787	102269301	2115901698	0.414141	70.6611	0.0618557	0.0495778	Alps
A3645	Cave	Tooth	Crania	Museum	47.75695	12.28742	1328.1	11872	0.201163378	0.493058966448	M	451	18931	102269301	2115901698	0.426422	68.1447	0.0602764	0.0840108	Alps
A3646	Cave	LongBone	Postcrania	Museum	45.972524	11.673113	663.3	11900	0.010488801	0.544734481996	M	247	9361	102269301	2115901698	0.435558	61.6463	0.0538543	0.156137	Alps
A3647	Cave	LongBone	Postcrania	Museum	46.976806	8.834289	1495.4	9700	0.016937234	0.871770875766	F	466	11128	102269301	2115901698	0.429075	52.1313	0.0957874	0.130836	Alps
A3648	Cave	LongBone	Postcrania	Museum	46.976806	8.834289	1495.4	9700	0.029558977	0.933794939402	F	836	18582	102269301	2115901698	0.378615	53.742	0.079567	0.0661265	Alps
A3649	Cave	Tooth	Crania	Museum	46.976806	8.834289	1495.4	3275	0.192521145	0.91064101823	F	818	18665	102269301	2115901698	0.422636	66.5745	0.0593279	0.0911594	Alps
A3650	Cave	NA	NA	Museum	46.976806	8.834289	1495.4	4135	0.074784773	0.476937852491	M	432	18761	102269301	2115901698	0.424949	65.6626	0.063668	0.0531136	Alps
A3651	Cave	NA	NA	Museum	47.613552	15.236769	1187	2935	0.053369929	0.958738392198	F	862	18639	102269301	2115901698	0.418746	67.331	0.0747209	0.066739	Alps
A3928	Sediment	LongBone	Postcrania	Museum	55.702466	11.368346	57.4	NA	0.003795723	0.938649570954	F	644	14237	102269301	2115901698	0.481837	45.7891	0.0972973	0.073119	nonAlps
A407	Sediment	Vertebrae	Postcrania	Museum	70.583333	147.166667	78.6	30660	0.0094959	0.412456036817	M	123	6196	102269301	2115901698	0.42468	70.2608	0.0668543	0.125822	nonAlps
A4098	Cave	LongBone	Postcrania	Museum	44.166441	40.000167	1111.8	42900	0.013817362	0.457837854762	M	284	12860	102269301	2115901698	0.430104	56.8508	0.125694	0.12572	nonAlps
A5883	Cave	Tooth	Crania	Museum	41.683333	125.766667	429.4	NA	0.002701145	0.485760880526	M	235	10016	102269301	2115901698	0.547737	35.6769	0.0468208	0.0535177	nonAlps
A5889	Cave	Tooth	Crania	Museum	40.579417	122.973889	161.8	NA	0.006116115	0.46823967668	M	422	18675	102269301	2115901698	0.474306	47.38	0.152086	0.0781207	nonAlps
A95	Cave	Podial	Postcrania	Museum	58.0971	57.4379	211.1	NA	0.143272619	0.528077293997	M	485	18976	102269301	2115901698	0.435872	63.4067	0.0264293	0.0141085	nonAlps
A96	Sediment	LongBone	Postcrania	Museum	58.033333	68.85	45	NA	0.004882673	0.508265863568	M	216	8789	102269301	2115901698	0.435477	50.9056	0.133698	0.0454928	nonAlps
A99	Cave	Tooth	Crania	Museum	60.42	60.22	167.1	NA	0.250701542	0.470804142344	M	425	18703	102269301	2115901698	0.432249	70.1365	0.0163369	0.0333855	nonAlps
